year,month,publication_date,date_precision,model,family,title,benchmark_data,native_resolution,horizon,conditioning,metrics,doi,paper_url,code_or_data_url,scope,gp_evidence,status_and_scope
"2025","05","2025-05","month (online or issue; see status)","RLP-GAN","GAN","Learning and Generating Diverse Residential Load Patterns Using GAN with Weakly-Supervised Training and Weight Selection","417 foyers","à vérifier","patterns résidentiels","Faible supervision / sélection poids","Diversité; similarité; dépendance","10.1109/TCE.2025.3563272","","","direct","not applicable or unverified","Direct; IEEE TCE May 2025"
"2025","03","2025-03","month (catalogued journal month; online date not independently verified)","PV/EV building cGAN","cGAN","Conditional generative adversarial network (cGAN) for generating building load profiles with photovoltaics and electric vehicles","110 households with PV and EV, southwest USA","1 h","à vérifier","PV and EV adoption; weather; cooling/heating seasons","Mean/std; KL; FID","10.1016/j.enbuild.2025.115584","","","direct","not applicable or unverified","Direct; Energy and Buildings 2025; March 2025 bibliographic listing; full paper source"
"2025","","","year only — month unverified","Activity-based GAN","cGAN hybride","Residential Load Modeling With Generative Adversarial Networks","Emploi du temps Italie","appareils","journée","Jour semaine; activités","Signatures appareil et charge agrégée","10.1109/TSUSC.2025.3605668","","","direct","not applicable or unverified","Direct/hybride activités vers charge; 2025"
"2025","","","year only — month unverified","Physics-informed diffusion","Diffusion conditionnelle","Generating Synthetic Net Load Data for Residential Customers With Physics-Informed Diffusion Models","Pecan Street","à vérifier","à vérifier","Contraintes physiques; net load","Fidélité; diversité; GAN/VAE/flows comparés","10.1109/TSG.2025.3625925","","","direct","not applicable or unverified","Direct/net-load; online 2025; volume 2026"
"2025","","","year only — month unverified","SocioDiff","Diffusion conditionnelle","SocioDiff: A Socio-Aware Diffusion Model for Residential Electricity Consumption Data Generation","Irish CER","30 min","336 pas / semaine","Revenu; emploi; âge; ménage; classe sociale","MMD; Context-FID; utility","10.1109/TSG.2025.3575819","","https://github.com/Intelligame/SocialDiff","direct","not applicable or unverified","Direct; IEEE TSG 2025"
"2024","11","2024-11","month (journal/issue; see status)","Source-load cWGAN-GP","cWGAN-GP (source-load)","Source-load scenario generation method based on conditional Wasserstein generative adversarial network with gradient penalty","Mixed electricity source and load; setup not verified","à vérifier","scénarios","Conditional labels; details not verified","Statistical consistency; exact metrics unverified","10.1109/EI264398.2024.10991846","","","adjacent","Explicit in title","Adjacent mixed source+load; EI2 2024 November; direct load-only evaluation not established"
"2024","10","2024-10","month (online or issue; see status)","ERGAN","GAN récurrent","Synthetic Data Generation for Residential Load Patterns via Recurrent GAN and Ensemble Method","Pecan Street 417 foyers","1 h","journée","Ensemble et pertes statistiques","Diversité; similarité; statistiques","10.1109/TIM.2024.3480225","","https://github.com/AdamLiang42/ERGAN-Dataset","direct","not applicable or unverified","Direct; IEEE TIM Oct 2024; données synthétiques"
"2024","07","2024-07","month (journal issue; online date not checked)","DiffCharge","Diffusion conditionnelle","DiffCharge: Generating EV Charging Scenarios via a Denoising Diffusion Model","ACN-Data; sessions VE; profils batterie et station","à vérifier","à vérifier","Conditions préalables; types de VE ou stations","ACF; autres métriques à extraire","10.1109/TSG.2024.3360874","","https://github.com/LSY-Cython/DiffCharge","adjacent","not applicable or unverified","Adjacent EV charging (battery/station); IEEE TSG 15(4) 3936–3949, Jul 2024; preprint Aug 2023"
"2024","06","2024-06","month (online or issue; see status)","Building metadata diffusion","Diffusion conditionnelle","Creating synthetic energy meter data using conditional diffusion and building metadata","1828 compteurs multi-pays","à vérifier","annuel","Localisation; météo; type bâtiment/compteur","FID; KL; CGAN; CVAE","10.1016/j.enbuild.2024.114216","","","direct","not applicable or unverified","Direct; Energy and Buildings Jun 2024"
"2024","06","2024-06","month (online or issue; see status)","GAN/WGAN/WGAN-GP benchmark","Benchmark","Comparative assessment of generative models for transformer- and consumer-level load profiles generation","Client et transformateur","15; 30; 60 min","à vérifier","Résolution; agrégation","Comparaisons GAN; WGAN; WGAN-GP; VAE; GMM; copules","10.1016/j.segan.2024.101338","","","direct","not applicable or unverified","Direct benchmark; SEGAN Jun 2024"
"2024","04","2024-04","month (online or issue; see status)","DGAN + wavelets","GAN","Capturing multiscale temporal dynamics in synthetic residential load profiles through Generative Adversarial Networks (GANs)","Résidentiel (confidentiel)","haute fréquence","annuel puis intrajournalier","Décomposition ondelettes","ACF; énergie annuelle; pics; PV/BESS","10.1016/j.apenergy.2024.122831","","","direct","not applicable or unverified","Direct; Applied Energy Apr 2024"
"2024","02","2024-02","month (online or issue; see status)","Customized load diffusion","Diffusion conditionnelle","Customized Load Profiles Synthesis for Electricity Customers Based on Conditional Diffusion Models","Dataset public à vérifier","à vérifier","à vérifier","Caractéristiques client","À relever","10.1109/TSG.2024.3366212","","","direct","not applicable or unverified","Direct; IEEE TSG Feb 2024; arXiv 2023"
"2023","08","2023-08","month (online or issue; see status)","MultiLoad-GAN","GAN","MultiLoad-GAN: A GAN-Based Synthetic Load Group Generation Method Considering Spatial-Temporal Correlations","Groupe de charges / transformateur","à vérifier","à vérifier","Dépendances inter-clients","Fidélité spatio-temporelle; détails à vérifier","10.1109/TSG.2023.3302192","","https://github.com/hughwln/MultiLoad-GAN_public","direct","not applicable or unverified","Direct; IEEE TSG 2023; données réelles restreintes; Online Aug 2023; journal issue Mar 2024"
"2022","10","2022-10","month (online or issue; see status)","WDCGAN (GP in loss)","WGAN-GP","Energy data generation with Wasserstein Deep Convolutional Generative Adversarial Networks","Irish residential","30 min","7 × 48 pas / semaine","Démographie","Distribution; patterns; privacy","10.1016/j.energy.2022.124694","","","direct","explicit in loss, requires full text confirmation","Direct; Energy Oct 2022"
"2022","08","2022-08","month (online or issue; see status)","Grid stress-testing GAN","GAN","Stress testing electrical grids: Generative Adversarial Networks for load scenario generation","Pays européens / variable mixte","1 h","scénarios multivariés","Saison; jour; heure; macroéconomie","Covariance; non-gaussianité","10.1016/j.egyai.2022.100177","","https://github.com/Advestis/els_paper","adjacent","not applicable or unverified","Adjacent / scope mix electric inland generation et consumption; Energy and AI Aug 2022"
"2022","08","2022-08","month (online or issue; see status)","RCGAN / TimeGAN / CWGAN / RCWGAN","GAN / cWGAN","Synthetic demand data generation for individual electricity consumers: Generative Adversarial Networks (GANs)","Clients individuels","à vérifier","à vérifier","Récurrence et conditions selon variante","Similarité des profils","10.1016/j.egyai.2022.100161","","","direct","not applicable or unverified","Direct benchmark; Energy and AI Aug 2022"
"2022","07","2022-07","month (online or issue; see status)","ProfileSR-GAN","GAN / super-résolution","ProfileSR-GAN: A GAN Based Super-Resolution Method for Generating High-Resolution Load Profiles","Smart-meter LR/HR","haute fréquence","à vérifier","LR load; météo","Shape-based metrics; NILM","10.1109/TSG.2022.3158235","","","direct","not applicable or unverified","Direct super-résolution; IEEE TSG 2022; IEEE TSG issue July 2022; earlier online month not checked"
"2022","01","2022-01","month (online or issue; see status)","Time-Variant GAN","GAN","Synthetic Energy Data Generation Using Time Variant Generative Adversarial Network","Consommation énergétique","à vérifier","à vérifier","Variantes temporelles","À relever","10.3390/electronics11030355","","","direct","not applicable or unverified","Direct; Electronics Jan 2022"
"2022","","","year only — month unverified","DPWGAN","WGAN + DP","DPWGAN: High-Quality Load Profiles Synthesis With Differential Privacy Guarantees","Smart meters","à vérifier","à vérifier","Confidentialité différentielle","Utility / garanties DP","10.1109/TSG.2022.3230671","","","direct","not applicable or unverified","Direct; online 2022 / journal 2023; journal issue July 2023; online-first month not independently verified"
"2021","09","2021-09","month (journal/issue; see status)","Baasch conditional temporal GAN","cGAN / temporal GAN","A Conditional Generative adversarial Network for energy use in multiple buildings using scarce data","Residential + commercial buildings; 396 and 156 sequences","à vérifier","sequences","Mean monthly outdoor temperature","JSD; PCA; DTW; MMD; forecasting utility; seasonality","10.1016/j.egyai.2021.100087","","","direct","not claimed","Direct; Energy and AI September 2021; 22 experiments"
"2021","07","2021-07","month (online or issue; see status)","Transmission cGAN","cGAN","Synthetic Time-Series Load Data via Conditional Generative Adversarial Networks","Réseau de transport","1 h","1 semaine","Saison; type de charge","Fidélité; utility","","https://arxiv.org/abs/2107.03545","","direct","not applicable or unverified","Direct; arXiv 2021"
"2020","12","2020-12","month (journal/issue; see status)","CWGAN-GP residual scenario","cWGAN-GP (forecast residuals)","Modeling load forecast uncertainty using generative adversarial networks","Eight US areas open load datasets","à vérifier","day-ahead / trajectory scenarios","Day type; temperature; historical load; point-forecast residual","Probabilistic forecast reliability and temporal variation; details in article","10.1016/j.epsr.2020.106732","","","adjacent","Explicit in publisher full text","Adjacent probabilistic load forecast residual scenario generation; Electric Power Systems Research December 2020"
"2020","10","2020-10","month (online or issue; see status)","Clustered GAN","GAN","Generating realistic building electrical load profiles through the Generative Adversarial Network (GAN)","Building Data Genome","1 h","24 h","Clusters k-means","KL; moyenne; écart-type","10.1016/j.enbuild.2020.110299","","","direct","not applicable or unverified","Direct; Energy and Buildings Oct 2020"
"2019","12","2019-12","month (online or issue; see status)","R-GAN / WGAN / MH-GAN","GAN / WGAN","Generating Energy Data for Machine Learning with Recurrent Generative Adversarial Networks","Consommation énergétique","à vérifier","à vérifier","Features Fourier / ARIMA","Utility forecasting","10.3390/en13010130","","","direct","not applicable or unverified","Direct; online Dec 2019; Energies vol. 2020"
"2019","02","2019-02","month (online or issue; see status)","ACGAN / Conv GAN","cGAN","GAN-based Model for Residential Load Generation Considering Typical Consumption Patterns","Irish smart meters","à vérifier","hebdomadaire","Clusters de profils typiques","Similarité; diversité","10.1109/ISGT.2019.8791575","","","direct","not applicable or unverified","Direct; ISGT 2019; ISGT conference 18–21 Feb 2019; preprint circulated Dec 2018"
"2018","10","2018-10","month (online or issue; see status)","Demand-side cGAN","cGAN","Demand Side Data Generating Based on Conditional Generative Adversarial Networks","Compteurs + enquêtes","à vérifier","à vérifier","Labels répondants","À relever","10.1016/j.egypro.2018.09.157","","","direct","not applicable or unverified","Direct; Energy Procedia Oct 2018"
